year,count,trans,den
1999,29,24,1.208333333
2000,71,24,2.958333333
2001,186,24,7.75
2002,58,24,2.416666667
2003,78,24,3.25
2004,86,24,3.583333333
2005,28,24,1.166666667
2006,80,36,2.222222222
2007,302,72,4.194444444
2008,390,60,6.5
2009,68,24,2.833333333
2010,39,24,1.625
2011,157,72,2.180555556
2012,168,72,2.333333333
2013,253,72,3.513888889
2014,2053,72,28.51388889
2015,10434,72,144.9166667
2016,8795,60,146.5833333
2017,35108,72,487.6111111
2018,43860,72,609.1666667
2019,39372,48,820.25
2020,120942,72,1679.75
2021,71017,70,1014.528571
