site,state_ending_obs,logit_obs,state_ending_lda,logit_lda,start_state,end_state,year_end,year_start,den_end,prop_exposed_end,den_start,prop_exposed_start,den_exposed_start,den_con_start
REF_003,FOREST,1,PERSIST,0,FOR,FOR,2018,2017,0.4375,0.025,3.8125,0,0,3.8125
REF_004,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,2.75,0.084517045,17.25,0.486695984,8.395505728,8.854494272
REF_005,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,10.6875,0.952715774,9.75,0.669504831,6.527672102,3.222327898
REF_006,PERSIST,0,PERSIST,0,FOR,BAR,2018,2017,2.0625,0.219886364,1.3125,0.140625,0.184570313,1.127929688
REF_007,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,6.9375,0.517134081,16.125,0.885771184,14.28306033,1.841939666
REF_008,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,31.5625,0.979602563,27.5,0.960026867,26.40073883,1.099261171
REF_009,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,0.4375,0,0.75,0,0,0.75
REF_010,BARREN,1,PERSIST,0,BAR,BAR,2018,2017,9.25,0.926609849,3.5625,0.382986111,1.364388021,2.198111979
REF_012,PERSIST,0,FOREST,1,BAR,FOR,2018,2017,19.5625,0.35357611,38.6875,0.570740753,22.08053286,16.60696714
REF_014,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,9.3125,0.330902778,24.875,0.883316382,21.97249499,2.902505007
REF_015,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,19.9375,0.155139323,4.1875,0,0,4.1875
REF_016,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,8.0625,0,16.375,0.687372964,11.25573229,5.119267709
REF_017,PERSIST,0,FOREST,1,BAR,FOR,2018,2017,0,0,1.0625,0.260416667,0.276692708,0.785807292
REF_019,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,34.375,0.900877193,7.6875,0.753176991,5.790048115,1.897451885
REF_020,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,4,0.041666667,2.9375,0.004807692,0.014122596,2.923377404
REF_022,BARREN,1,BARREN,1,FOR,BAR,2018,2017,32,0.985657051,21.9375,0.346405212,7.59926433,14.33823567
REF_024,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.9375,0.010416667,0.9375,0,0,0.9375
REF_025,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,18.0625,0.909924451,22.3125,0.94486715,21.08234828,1.230151723
REF_027,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,9.8125,0.983333333,22.875,0.811430892,18.56148165,4.313518351
REF_028,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.75,0.964393939,15.3125,0.995192308,15.23888221,0.073617789
REF_029,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,5,0.485935592,6.25,0.547569444,3.422309028,2.827690972
REF_031,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,2.1875,0.042857143,5.8125,0.210508242,1.223579156,4.588920844
REF_033,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,5.3125,0.829166667,9.0625,0.566865079,5.137214782,3.925285218
REF_034,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.5625,0.06875,3.9375,0.044852941,0.176608456,3.760891544
REF_035,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,5.625,0.210805861,4.1875,0.145036765,0.607341452,3.580158548
REF_036,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,0.5625,0,2.625,0.015873016,0.041666667,2.583333333
REF_038,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,5.375,0.893402778,7.0625,0.817212302,5.77156188,1.29093812
REF_039,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,6.1875,0.173003472,2.8125,0.016995614,0.047800165,2.764699835
REF_042,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,12.875,0.937266996,27,0.471590909,12.73295454,14.26704546
REF_043,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,0.125,0,1.1875,0.260416667,0.309244792,0.878255208
REF_047,PERSIST,0,BARREN,1,FOR,BAR,2018,2017,37.25,0.941873118,27.6875,0.258879065,7.167714118,20.51978588
REF_048,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,7.5,0.208406008,3.5,0.019176136,0.067116477,3.432883523
REF_050,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.375,0.971543576,21.3125,0.822081182,17.52060519,3.791894811
REF_051,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,10.8125,0.822136492,16.75,0.681838681,11.4207979,5.329202098
REF_054,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.125,0.907403165,25.125,0.995535714,25.01283482,0.112165178
REF_056,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,4.3125,0.085611264,7.3125,0.012231183,0.089440524,7.223059476
REF_058,BARREN,1,PERSIST,0,BAR,BAR,2018,2017,1.5,0.166666667,1.9375,0.226190476,0.438244048,1.499255952
REF_060,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,3.5625,0.269791667,2.625,0.053084416,0.139346591,2.485653409
REF_061,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,26.5,0.960676894,30.4375,0.969337206,29.50420122,0.933298781
REF_063,FOREST,1,PERSIST,0,FOR,FOR,2018,2017,3.4375,0.062009804,10.125,0.178552177,1.807840792,8.317159208
