DATE,Year,Season,LAT,LONG,SITE,OBSERVER,BUDDY,SEASON,TEMP,DEPTH,TRANSECT,QUADRAT,PUR DEN,RED DEN,STATE,RELIEF,Notes,Focal Site,Depth Zone,Proportion Large,Proportion Small,Proportion Medium,Size Class,Density
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,1,1,3,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Small,0.461538462
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,1,1,3,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Medium,1.038461538
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,1,1,3,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Large,1.5
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,1,2,28,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Small,4.307692308
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,1,2,28,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Medium,9.692307692
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,1,2,28,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Large,14
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,2,1,3,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Small,0.461538462
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,2,1,3,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Medium,1.038461538
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,2,1,3,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Large,1.5
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,2,2,17,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Small,2.615384615
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,2,2,17,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Medium,5.884615385
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,2,2,17,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Large,8.5
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,3,1,7,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Small,1.076923077
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,3,1,7,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Medium,2.423076923
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,3,1,7,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Large,3.5
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,3,2,12,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Small,1.846153846
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,3,2,12,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Medium,4.153846154
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,3,2,12,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Large,6
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,4,1,5,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Small,0.769230769
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,4,1,5,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Medium,1.730769231
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,4,1,5,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Large,2.5
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,4,2,6,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Small,0.923076923
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,4,2,6,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Medium,2.076923077
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,4,2,6,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Large,3
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,5,1,2,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Small,0.307692308
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,5,1,2,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Medium,0.692307692
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,5,1,2,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Large,1
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,5,2,4,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Small,0.615384615
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,5,2,4,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Medium,1.384615385
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,5,2,4,0,FOR,2,,YES,shallow,0.5,0.153846154,0.346153846,Large,2
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,6,1,0,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Small,0
170706,2017,Summer,36.61346844,-121.8964246,REF_076,Smith,Gorra,Summer,15,6.5,6,1,0,0,FOR,1,,YES,shallow,0.5,0.153846154,0.346153846,Medium,0
