site,side,year,zone,Species,Density
PINOS,CEN,2007,INNER,Macrocystis,176.5
PINOS,CEN,2007,INNER,Nereocystis,21
PINOS,CEN,2007,MID,Macrocystis,90
PINOS,CEN,2007,MID,Nereocystis,2.5
PINOS,CEN,2007,OUTER,Macrocystis,21.5
PINOS,CEN,2007,OUTER,Nereocystis,0
PINOS,CEN,2008,INNER,Macrocystis,14
PINOS,CEN,2008,INNER,Nereocystis,88
PINOS,CEN,2008,MID,Macrocystis,132.5
PINOS,CEN,2008,MID,Nereocystis,5.5
PINOS,CEN,2008,OUTER,Macrocystis,8
PINOS,CEN,2008,OUTER,Nereocystis,0
PINOS,CEN,2011,INNER,Macrocystis,37
PINOS,CEN,2011,INNER,Nereocystis,0.5
PINOS,CEN,2011,MID,Macrocystis,5
PINOS,CEN,2011,MID,Nereocystis,0
PINOS,CEN,2011,OUTER,Macrocystis,0
PINOS,CEN,2011,OUTER,Nereocystis,0
PINOS,CEN,2012,INNER,Macrocystis,22
PINOS,CEN,2012,INNER,Nereocystis,29.5
PINOS,CEN,2012,MID,Macrocystis,20
PINOS,CEN,2012,MID,Nereocystis,0
PINOS,CEN,2012,OUTER,Macrocystis,0
PINOS,CEN,2012,OUTER,Nereocystis,0.5
PINOS,CEN,2013,INNER,Macrocystis,35
PINOS,CEN,2013,INNER,Nereocystis,0.5
PINOS,CEN,2013,MID,Macrocystis,55
PINOS,CEN,2013,MID,Nereocystis,0
PINOS,CEN,2013,OUTER,Macrocystis,0
PINOS,CEN,2013,OUTER,Nereocystis,0
PINOS,CEN,2014,INNER,Macrocystis,0
PINOS,CEN,2014,INNER,Nereocystis,0
PINOS,CEN,2014,MID,Macrocystis,1.5
PINOS,CEN,2014,MID,Nereocystis,0
PINOS,CEN,2014,OUTER,Macrocystis,0
PINOS,CEN,2014,OUTER,Nereocystis,0
PINOS,CEN,2015,INNER,Macrocystis,0.5
PINOS,CEN,2015,INNER,Nereocystis,0.5
PINOS,CEN,2015,MID,Macrocystis,0
PINOS,CEN,2015,MID,Nereocystis,0
PINOS,CEN,2015,OUTER,Macrocystis,0
PINOS,CEN,2015,OUTER,Nereocystis,0
PINOS,CEN,2016,INNER,Macrocystis,0
PINOS,CEN,2016,INNER,Nereocystis,0
PINOS,CEN,2016,MID,Macrocystis,0
PINOS,CEN,2016,MID,Nereocystis,0
PINOS,CEN,2016,OUTER,Macrocystis,0
PINOS,CEN,2016,OUTER,Nereocystis,0
PINOS,CEN,2017,INNER,Macrocystis,6.5
PINOS,CEN,2017,INNER,Nereocystis,3
PINOS,CEN,2017,MID,Macrocystis,1
PINOS,CEN,2017,MID,Nereocystis,1.5
PINOS,CEN,2017,OUTER,Macrocystis,0
PINOS,CEN,2017,OUTER,Nereocystis,0
PINOS,CEN,2018,INNER,Macrocystis,0
PINOS,CEN,2018,INNER,Nereocystis,0
PINOS,CEN,2018,MID,Macrocystis,0
PINOS,CEN,2018,MID,Nereocystis,0
PINOS,CEN,2018,OUTER,Macrocystis,0
PINOS,CEN,2018,OUTER,Nereocystis,21
PINOS,CEN,2019,INNER,Macrocystis,1
PINOS,CEN,2019,INNER,Nereocystis,6
PINOS,CEN,2019,MID,Macrocystis,3
PINOS,CEN,2019,MID,Nereocystis,10
PINOS,CEN,2019,OUTER,Macrocystis,1
PINOS,CEN,2019,OUTER,Nereocystis,485
SIREN,CEN,2007,INNER,Macrocystis,339
SIREN,CEN,2007,INNER,Nereocystis,0
SIREN,CEN,2007,MID,Macrocystis,234
SIREN,CEN,2007,MID,Nereocystis,0
SIREN,CEN,2007,OUTER,Macrocystis,8
SIREN,CEN,2007,OUTER,Nereocystis,0
SIREN,CEN,2008,INNER,Macrocystis,41
SIREN,CEN,2008,INNER,Nereocystis,0
SIREN,CEN,2008,MID,Macrocystis,109.5
SIREN,CEN,2008,MID,Nereocystis,0
SIREN,CEN,2008,OUTER,Macrocystis,129.5
SIREN,CEN,2008,OUTER,Nereocystis,0
SIREN,CEN,2011,INNER,Macrocystis,149.5
SIREN,CEN,2011,INNER,Nereocystis,0
SIREN,CEN,2011,MID,Macrocystis,233
SIREN,CEN,2011,MID,Nereocystis,0.5
SIREN,CEN,2011,OUTER,Macrocystis,130.5
SIREN,CEN,2011,OUTER,Nereocystis,0
SIREN,CEN,2012,INNER,Macrocystis,294.5
SIREN,CEN,2012,INNER,Nereocystis,0
SIREN,CEN,2012,MID,Macrocystis,242
SIREN,CEN,2012,MID,Nereocystis,0
SIREN,CEN,2012,OUTER,Macrocystis,250.5
SIREN,CEN,2012,OUTER,Nereocystis,0
SIREN,CEN,2013,INNER,Macrocystis,298.5
SIREN,CEN,2013,INNER,Nereocystis,0
SIREN,CEN,2013,MID,Macrocystis,318
SIREN,CEN,2013,MID,Nereocystis,0
SIREN,CEN,2013,OUTER,Macrocystis,236.5
SIREN,CEN,2013,OUTER,Nereocystis,0
SIREN,CEN,2014,INNER,Macrocystis,131
SIREN,CEN,2014,INNER,Nereocystis,0
SIREN,CEN,2014,MID,Macrocystis,204.5
SIREN,CEN,2014,MID,Nereocystis,0
SIREN,CEN,2014,OUTER,Macrocystis,56.5
SIREN,CEN,2014,OUTER,Nereocystis,0
SIREN,CEN,2015,INNER,Macrocystis,304.5
SIREN,CEN,2015,INNER,Nereocystis,0
SIREN,CEN,2015,MID,Macrocystis,478.5
SIREN,CEN,2015,MID,Nereocystis,0
SIREN,CEN,2015,OUTER,Macrocystis,335
SIREN,CEN,2015,OUTER,Nereocystis,0
SIREN,CEN,2016,INNER,Macrocystis,73.5
SIREN,CEN,2016,INNER,Nereocystis,0
SIREN,CEN,2016,MID,Macrocystis,284.5
SIREN,CEN,2016,MID,Nereocystis,0
SIREN,CEN,2016,OUTER,Macrocystis,317.5
SIREN,CEN,2016,OUTER,Nereocystis,0
SIREN,CEN,2017,INNER,Macrocystis,113.5
SIREN,CEN,2017,INNER,Nereocystis,0
