year,size,count,n_trans,den
2011,1,1,72,0.013888889
2011,2,12,72,0.166666667
2011,3,17,72,0.236111111
2011,4,17,72,0.236111111
2011,5,17,72,0.236111111
2011,6,4,72,0.055555556
2011,7,4,72,0.055555556
2011,8,7,72,0.097222222
2011,9,1,72,0.013888889
2012,1,3,72,0.041666667
2012,2,1,72,0.013888889
2012,3,24,72,0.333333333
2012,4,29,72,0.402777778
2012,5,50,72,0.694444444
2012,6,15,72,0.208333333
2012,7,7,72,0.097222222
2013,2,5,72,0.069444444
2013,3,40,72,0.555555556
2013,4,44,72,0.611111111
2013,5,20,72,0.277777778
2013,6,26,72,0.361111111
2013,7,15,72,0.208333333
2013,8,11,72,0.152777778
2013,9,2,72,0.027777778
2013,10,9,72,0.125
2014,1,1,72,0.013888889
2014,2,4,72,0.055555556
2014,3,256,72,3.555555556
2014,4,266,72,3.694444444
2014,5,542,72,7.527777778
2014,6,469,72,6.513888889
2014,7,191,72,2.652777778
2014,8,251,72,3.486111111
2014,9,10,72,0.138888889
2014,10,26,72,0.361111111
2015,1,19,72,0.263888889
2015,2,319,72,4.430555556
2015,3,2605,72,36.18055556
2015,4,4181,72,58.06944444
2015,5,2296,72,31.88888889
2015,6,886,72,12.30555556
2015,7,103,72,1.430555556
2015,8,24,72,0.333333333
2015,9,1,72,0.013888889
2016,1,32,60,0.533333333
2016,2,553,60,9.216666667
2016,3,2982,60,49.7
2016,4,2989,60,49.81666667
2016,5,1851,60,30.85
2016,6,340,60,5.666666667
2016,7,39,60,0.65
2016,8,8,60,0.133333333
2016,9,1,60,0.016666667
2017,1,148,72,2.055555556
2017,2,2531,72,35.15277778
2017,3,9388,72,130.3888889
2017,4,13960,72,193.8888889
2017,5,6020,72,83.61111111
2017,6,2893,72,40.18055556
2017,7,114,72,1.583333333
2017,8,43,72,0.597222222
2017,9,11,72,0.152777778
2018,1,644,72,8.944444444
2018,2,3549,72,49.29166667
2018,3,13623,72,189.2083333
2018,4,13638,72,189.4166667
2018,5,8411,72,116.8194444
2018,6,2916,72,40.5
2018,7,737,72,10.23611111
2018,8,223,72,3.097222222
2018,9,49,72,0.680555556
2018,10,49,72,0.680555556
2019,1,1186,48,24.70833333
2019,2,4028,48,83.91666667
2019,3,11366,48,236.7916667
2019,4,13010,48,271.0416667
2019,5,7505,48,156.3541667
2019,6,2144,48,44.66666667
2019,7,125,48,2.604166667
2019,8,8,48,0.166666667
2020,1,1767,72,24.54166667
2020,2,18178,72,252.4722222
2020,3,36986,72,513.6944444
2020,4,37441,72,520.0138889
2020,5,19115,72,265.4861111
2020,6,6773,72,94.06944444
2020,7,646,72,8.972222222
2020,8,35,72,0.486111111
2020,9,1,72,0.013888889
2021,1,1301,70,18.58571429
2021,2,8886,70,126.9428571
2021,3,24590,70,351.2857143
2021,4,23638,70,337.6857143
2021,5,9715,70,138.7857143
2021,6,2527,70,36.1
2021,7,351,70,5.014285714
2021,8,7,70,0.1
2021,9,2,70,0.028571429
