site,transition_obs,logit_obs,transition_pred,logit_pred,state_start,state_end,year_end,year_start,density_end,prop_exposed_end,density_start,prop_exposed_start,den_exposed_start,ln_den_exp_start,ln_den_exp_end,den_conceiled_start,ln_den_conceiled_start,ln_prop_exp_start,ln_den_start
REF_003,FOREST,1,PERSIST,0,FOR,FOR,2018,2017,0.4375,0.025,3.8125,0,0,0,0.024692613,3.8125,1.5712167,0,1.5712167
REF_004,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,2.75,0.084517045,17.25,0.486695984,8.395505728,2.240231461,0.081134768,8.854494272,2.287927622,0.396556198,2.90416508
REF_005,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,10.6875,0.952715774,9.75,0.669504831,6.527672102,2.018585844,0.669221108,3.222327898,1.440386611,0.512527074,2.374905755
REF_006,PERSIST,0,PERSIST,0,FOR,BAR,2018,2017,2.0625,0.219886364,1.3125,0.140625,0.184570313,0.169380103,0.19875771,1.127929688,0.755149529,0.131576358,0.83832919
REF_007,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,6.9375,0.517134081,16.125,0.885771184,14.28306033,2.726745047,0.416823082,1.841939666,1.0444868,0.634336853,2.840539384
REF_008,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,31.5625,0.979602563,27.5,0.960026867,26.40073883,3.310569978,0.682896099,1.099261171,0.74158546,0.672958181,3.349904087
REF_009,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,0.4375,0,0.75,0,0,0,0,0.75,0.559615788,0,0.559615788
REF_010,BARREN,1,PERSIST,0,BAR,BAR,2018,2017,9.25,0.926609849,3.5625,0.382986111,1.364388021,0.860519223,0.655761903,2.198111979,1.162560629,0.32424501,1.517870719
REF_012,PERSIST,0,FOREST,1,BAR,FOR,2018,2017,19.5625,0.35357611,38.6875,0.570740753,22.08053286,3.138989529,0.30275006,16.60696714,2.868294684,0.451547325,3.681036277
REF_014,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,9.3125,0.330902778,24.875,0.883316382,21.97249499,3.13429763,0.285857492,2.902505007,1.361618656,0.633034256,3.253277252
REF_015,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,19.9375,0.155139323,4.1875,0,0,0,0.144220962,4.1875,1.646251886,0,1.646251886
REF_016,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,8.0625,0,16.375,0.687372964,11.25573229,2.50599377,0,5.119267709,1.811442434,0.523172861,2.855032391
REF_017,PERSIST,0,FOREST,1,BAR,FOR,2018,2017,0,0,1.0625,0.260416667,0.276692708,0.244272913,0,0.785807292,0.579870577,0.231442354,0.723918839
REF_019,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,34.375,0.900877193,7.6875,0.753176991,5.790048115,1.915458028,0.64231546,1.897451885,1.06383169,0.561429565,2.161885211
REF_020,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,4,0.041666667,2.9375,0.004807692,0.014122596,0.014023801,0.040821995,2.923377404,1.366952865,0.004796172,1.370546004
REF_022,BARREN,1,BARREN,1,FOR,BAR,2018,2017,32,0.985657051,21.9375,0.346405212,7.59926433,2.151676657,0.685949868,14.33823567,2.730348774,0.297438235,3.132773126
REF_024,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.9375,0.010416667,0.9375,0,0,0,0.010362787,0.9375,0.661398482,0,0.661398482
REF_025,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,18.0625,0.909924451,22.3125,0.94486715,21.08234828,3.094778569,0.647063687,1.230151723,0.80206962,0.665193671,3.148989697
REF_027,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,9.8125,0.983333333,22.875,0.811430892,18.56148165,2.973562411,0.684778931,4.313518351,1.670254206,0.594117081,3.172831886
REF_028,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.75,0.964393939,15.3125,0.995192308,15.23888221,2.787408503,0.67518377,0.073617789,0.071034056,0.690740441,2.791931685
REF_029,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,5,0.485935592,6.25,0.547569444,3.422309028,1.486661964,0.396044602,2.827690972,1.342261742,0.4366856,1.981001469
REF_031,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,2.1875,0.042857143,5.8125,0.210508242,1.223579156,0.79911813,0.041964199,4.588920844,1.720786217,0.191040306,1.91875916
REF_033,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,5.3125,0.829166667,9.0625,0.566865079,5.137214782,1.814371021,0.60386049,3.925285218,1.594382185,0.449076858,2.308815643
REF_034,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.5625,0.06875,3.9375,0.044852941,0.176608456,0.16263611,0.066489741,3.760891544,1.56043495,0.043876149,1.59685913
REF_035,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,5.625,0.210805861,4.1875,0.145036765,0.607341452,0.474581542,0.191286139,3.580158548,1.521733615,0.135436745,1.646251886
REF_036,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,0.5625,0,2.625,0.015873016,0.041666667,0.040821994,0,2.583333333,1.276293466,0.015748357,1.287854288
